Ref.ID,Compound,Stock.ppm,max.ppm,Solvent,Class,Subclass,Parent,Generation,PAINS,Modifications
1036-09B,6-bromothymol,51200,256,EtOH,Biorational,Thymol,thymol,1,,bromination
1036-14A,malathion,25600,128,EtOH,Conventional,Organophosphate,,,,
1036-14B (LM-1.2-HPMC),malathion,256,1.28,EtOH,Conventional,Organophosphate,,,,
1036-14B (LM-1.2),malathion,256,1.28,EtOH,Conventional,Organophosphate,,,,
MAL,malathion,256,1.28,EtOH,Conventional,Organophosphate,,,,
1036-22A,1036-23,51200,256,EtOH,Biorational,Thymol,thymol,1,Yes,glycidylation
1036-22B,fipronil,25600,128,EtOH,Conventional,Fiprole,,,,
1036-22C,fipronil,256,1.28,EtOH,Conventional,Fiprole,,,,
1036-22E,tyramine,51200,256,EtOH,Natural,Biogenic amine,,,,
2% D-Limonene (LM-1.2-HPMC),D-limonene+HPMC,NA,20000,EtOH,Natural,Monoterpenoid,D-limonene,,,
2% Geraniol (LM-1.2-HPMC),geraniol+HPMC,NA,20000,EtOH,Natural,Monoterpenoid,geraniol,,,
2% Geraniol (LM-1.2),geraniol,NA,20000,EtOH,Natural,Monoterpenoid,geraniol,,,
JSK1008-A,citronellol,200000,1000,EtOH,Natural,Monoterpenoid,geraniol,,,
JSK1008-B,D-limonene,200000,1000,EtOH,Natural,Monoterpenoid,D-limonene,,,
JSK1008-C,thymol,200000,1000,EtOH,Natural,Monoterpenoid,thymol,,,
JSK1008-D,geraniol,200000,1000,EtOH,Natural,Monoterpenoid,geraniol,,,
JSK1008-D (LM 1.2-HPMC),geraniol+HPMC,200000,1000,EtOH,Natural,Monoterpenoid,geraniol,,,
JSK1008-D (LM 1.2),geraniol,200000,1000,EtOH,Natural,Monoterpenoid,geraniol,,,
JSK1008-E,nerol,200000,1000,EtOH,Natural,Monoterpenoid,geraniol,,,isomerization
JSK1008-F,citral,200000,1000,EtOH,Natural,Monoterpenoid,geraniol,,Yes,oxidation to aldehyde
VC (LM-1.2-HPMC),control,NA,NA,EtOH,Control,,,,,
VC (LM-1.2),control,NA,NA,EtOH,Control,,,,,
1036-14B,malathion,256,1.28,EtOH,Conventional,Organophosphate,,,,
29A,thymoquinone,51200,256,EtOH,Natural,Monoterpenoid,thymol,,Yes,oxidation to quinone
29B,1036-26A,25600,128,EtOH,Biorational,Thymol,thymol,3,,"cPr-aminohydroxypropanation, N-Ac"
29C,1036-26B,25600,128,EtOH,Biorational,Thymol,thymol,3,,"cPr-aminohydroxypropanation, N-Mes"
29D,1036-26C,25600,128,EtOH,Biorational,Thymol,thymol,3,,"cPr-aminohydroxypropanation, oxazolinone"
29E,1036-24A,51200,256,EtOH,Biorational,Thymol,thymol,2,,"desmethyl, desisopopyl, 4-F, cPr-aminohydroxypropanation"
29F,1036-25A,51200,256,EtOH,Biorational,Thymol,thymol,2,,cPr-aminohydroxypropanation
29G,1036-25B,51200,256,EtOH,Biorational,Thymol,thymol,2,,iPr-aminohydroxypropanation
29H,1036-25C,51200,256,EtOH,Biorational,Thymol,thymol,2,,tBu-aminohydroxypropanation
VC ,control,NA,NA,EtOH,Control,,,,,
31A,R-(+)-pulegone,NA,20000,EtOH,Natural,Monoterpenoid,D-limonene,,Yes,oxidation to enone
31B,(-)-isopulegol,NA,20000,EtOH,Natural,Monoterpenoid,D-limonene,,,
31C,(1S)-(-)-verbenone,NA,20000,EtOH,Natural,Monoterpenoid,,,,
31D,alpha-thujene,NA,20000,EtOH,Natural,Monoterpenoid,,,,
31E,(-)-menthone,NA,20000,EtOH,Natural,Monoterpenoid,,,,
31F,carvacrol,NA,20000,EtOH,Natural,Monoterpenoid,thymol,,,isomerization
31G,cinnamaldehyde,NA,20000,EtOH,Natural,Phenylpropanoid,,,Yes,
31H,estragole,NA,20000,EtOH,Natural,Phenylpropanoid,,,Yes,
31I,isoeugenol,NA,20000,EtOH,Natural,Phenylpropanoid,,,Yes,
31J,(+)-dihydrocarvone,NA,20000,EtOH,Natural,Monoterpenoid,D-limonene,,,
31K,"alpha,beta-thujone",NA,20000,EtOH,Natural,Monoterpenoid,,,,
31L,fenchone,NA,20000,EtOH,Natural,Monoterpenoid,,,,
31M,alpha-terpinene,NA,20000,EtOH,Natural,Monoterpenoid,D-limonene,,,
31N,alpha-terpineol,NA,20000,EtOH,Natural,Monoterpenoid,D-limonene,,,
31O,safrole,NA,20000,EtOH,Natural,Phenylpropanoid,,,Yes,
31P,anethole,NA,20000,EtOH,Natural,Phenylpropanoid,,,Yes,
31Q,(-)-beta-pinene,NA,20000,EtOH,Natural,Monoterpenoid,,,,
31R,L-carvone,NA,20000,EtOH,Natural,Monoterpenoid,D-limonene,,Yes,oxidation to enone
31S,linalool,NA,20000,EtOH,Natural,Monoterpenoid,geraniol,,,isomerization
31T,nerol,NA,20000,EtOH,Natural,Monoterpenoid,geraniol,,,isomerization
31U,"1,4-cineole",NA,20000,EtOH,Natural,Monoterpenoid,,,,
31V,D-carvone,NA,20000,EtOH,Natural,Monoterpenoid,D-limonene,,Yes,oxidation to enone
31W,cinnamyl acetate,NA,20000,EtOH,Natural,Phenylpropanoid,,,Potential,
31X,cinnamyl alcohol,NA,20000,EtOH,Natural,Phenylpropanoid,,,Potential,
35A,Naled,25600,128,EtOH,Conventional,Organophosphate,,,,
35B,Naled,256,1.28,EtOH,Conventional,Organophosphate,,,,
35C,DDVP,25600,128,EtOH,Conventional,Organophosphate,,,,
35D,DDVP,256,1.28,EtOH,Conventional,Organophosphate,,,,
35E,malathion,25600,128,EtOH,Conventional,Organophosphate,,,,
35F,malathion,256,1.28,EtOH,Conventional,Organophosphate,,,,
35G,bifenthrin,25600,128,EtOH,Conventional,Pyrethroid,,,,
35H,bifenthrin,256,1.28,EtOH,Conventional,Pyrethroid,,,,
35K,permethrin,25600,128,EtOH,Conventional,Pyrethroid,,,,
35L,permethrin,256,1.28,EtOH,Conventional,Pyrethroid,,,,
