Compound,Biological Reps,Total Rows,LC50,LC50 95%CI,LC90,LC90 95%CI,malathion Pot. Rel. to Cmpd at LC50,malathion Pot. Rel. to Cmpd at LC50 95%CI,malathion Pot. Rel. to Cmpd at LC90,malathion Pot. Rel. to Cmpd at LC90 95%CI,R2,Slope,Slope CI,Tested Codes,Test Dates,Comments
malathion,23,56,0.105,"[0.0952, 0.115]",3.48,"[2.96, 4.2]",0.999,"[0.38, 2.62]",1,"[0.362, 2.77]",0.587,0.435,"[0.412, 0.458]","57G, 58H, 58F, 1036-14B, 57D, 57B, 57F, 57A, 57E, 58C, 57C, 58G, 57H, 58A","5/26/21, 8/20/21, 8/12/21, 7/1/21, 6/11/21, 8/19/21, 7/16/21, 5/25/21, 6/16/21, 7/14/21, 7/15/21, 7/30/21, 8/18/21, 8/4/21, 8/5/21, 6/10/21, 8/6/21, 7/29/21, 8/11/21, 6/30/21, 5/28/21, 6/24/21, 7/28/21", 
acetamiprid,4,4,0.122,"[0.0778, 0.181]",9.27,"[4.71, 23.5]",1.16,"[0.398, 3.3]",0.501,"[0.103, 1.94]",0.461,0.352,"[0.284, 0.418]","59A","7/15/21, 6/30/21, 7/16/21, 5/28/21", 
carbaryl,10,10,NA,NA,NA,NA,NA,NA,NA,NA,5.79e-3,0.0284,"[-1.34e-2, 0.0705]","59C","8/19/21, 7/16/21, 8/20/21, 8/6/21, 7/15/21, 6/30/21, 5/28/21, 6/24/21, 7/28/21, 8/5/21",Calculated LC50 (1.12e8) out of bounds. 
S-nicotine,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.282,0.191,"[-4.48e-2, 0.442]","59F","5/28/21",Calculated LC50 (393) out of bounds. 
pyethrum,9,9,NA,NA,NA,NA,NA,NA,NA,NA,0.0143,0.0408,"[-1.22e-2, 0.0826]","59G","8/19/21, 7/16/21, 8/20/21, 7/15/21, 7/29/21, 6/30/21, 5/28/21, 6/24/21, 8/5/21",Calculated LC50 (3.75e3) out of bounds. 
imidacloprid,12,12,0.147,"[0.112, 0.186]",8.03,"[5.25, 13]",1.39,"[0.512, 3.76]",0.845,"[0.255, 2.69]",0.52,0.38,"[0.335, 0.427]","1036-38A, 38A","7/16/21, 8/6/21, 8/12/21, 7/14/21, 7/15/21, 8/11/21, 8/4/21, 6/30/21, 5/28/21, 6/24/21, 7/28/21, 8/5/21", 
chlorantraniliprole,12,12,1.5,"[0.891, 2.97]",3.63e4,"[3.73e3, 1.15e6]",14.5,"[4.76, 46.5]",0.0197,"[9.58e-4, 0.169]",0.169,0.151,"[0.115, 0.189]","38F","8/19/21, 7/16/21, 8/20/21, 8/12/21, 7/14/21, 7/15/21, 8/11/21, 6/30/21, 5/28/21, 6/24/21, 7/28/21, 8/5/21", 
bifenthrin,6,6,0.494,"[0.239, 1.55]",5.42e3,"[331, 1.05e6]",4.89,"[1.4, 21.4]",0.0139,"[3.52e-4, 0.133]",0.184,0.164,"[0.112, 0.218]","35H","8/12/21, 7/14/21, 7/29/21, 8/11/21, 7/30/21, 5/28/21", 
permethrin,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.108,"[0.0146, 0.207]","35L","7/14/21, 6/9/21, 6/24/21, 7/30/21",Calculated LC50 (1.02e3) out of bounds. 
1061-2A,7,7,NA,NA,NA,NA,NA,NA,NA,NA,0.0241,0.0537,"[2.80e-3, 0.107]","93B","7/16/21, 8/12/21, 6/16/21, 6/9/21, 7/29/21, 8/11/21, 6/11/21",Calculated LC50 (2.30e6) out of bounds. 
