Compound,Biological Reps,Total Rows,LC50,LC50 95%CI,LC90,LC90 95%CI,malathion Pot. Rel. to Cmpd at LC50,malathion Pot. Rel. to Cmpd at LC50 95%CI,malathion Pot. Rel. to Cmpd at LC90,malathion Pot. Rel. to Cmpd at LC90 95%CI,R2,Slope,Slope CI,Tested Codes,Test Dates,Comments
malathion,5,9,0.426,"[0.354, 0.51]",2.29,"[1.44, 3.72]",1,"[0.363, 2.68]",0.998,"[0.313, 3.2]",0.717,0.906,"[0.681, 1.17]","96A","9/29/2021, 9/21/2021, 9/23/2021, 9/24/2021, 9/17/2021", 
ddvp,4,5,0.0497,"[0.0314, 0.0725]",0.872,"[0.435, 1.87]",0.114,"[0.0382, 0.327]",0.382,"[0.107, 1.44]",0.484,0.532,"[0.371, 0.709]","96C","9/24/2021, 9/17/2021, 9/21/2021, 9/29/2021", 
chlorpyrifos,4,5,0.274,"[0.2, 0.379]",7.66,"[4.34, 14.4]",0.641,"[0.228, 1.82]",3.37,"[0.958, 11.6]",0.485,0.458,"[0.377, 0.537]","96F","9/24/2021, 9/17/2021, 9/21/2021, 9/29/2021", 
carbofuran,4,5,0.354,"[0.257, 0.494]",3.03,"[1.78, 5.5]",0.832,"[0.304, 2.4]",1.33,"[0.405, 4.57]",0.728,0.715,"[0.534, 0.902]","96J","9/24/2021, 9/17/2021, 9/21/2021, 9/29/2021", 
permethrin,4,5,9.45,"[6.54, 17.6]",26.7,"[9.44, 164]",23.1,"[7.19, 73.9]",12.2,"[2.01, 99.3]",0.317,1.47,"[0.123, 2.7]","96M","9/24/2021, 9/17/2021, 9/21/2021, 9/29/2021", 
chlorantraniliprole,4,5,1.92,"[1.16, 3.31]",18.8,"[5.83, 104]",4.54,"[1.47, 13.4]",8.54,"[1.61, 60.9]",0.501,0.669,"[0.326, 1.08]","96Q","9/24/2021, 9/17/2021, 9/21/2021, 9/29/2021", 
acetamiprid,4,5,1.61,"[1.06, 2.45]",31.5,"[16, 67.7]",3.81,"[1.34, 11.2]",13.9,"[3.81, 50.1]",0.533,0.513,"[0.393, 0.642]","96T","9/24/2021, 9/17/2021, 9/21/2021, 9/29/2021", 
fipronil,4,5,1.67,"[1.34, 2.09]",4,"[2.9, 5.99]",3.9,"[1.41, 10.4]",1.77,"[0.561, 5.38]",0.68,1.74,"[1.08, 2.47]","96W","9/24/2021, 9/17/2021, 9/21/2021, 9/29/2021", 
phorate,3,4,0.226,"[0.168, 0.306]",1.1,"[0.635, 2.11]",0.529,"[0.193, 1.48]",0.485,"[0.142, 1.65]",0.914,0.967,"[0.611, 1.4]","96D","9/24/2021, 9/17/2021, 9/23/2021", 
aldicarb,3,4,0.53,"[0.418, 0.669]",1.39,"[0.988, 2.22]",1.24,"[0.454, 3.38]",0.615,"[0.197, 1.94]",0.935,1.58,"[1.01, 2.26]","96G","9/24/2021, 9/17/2021, 9/23/2021", 
